Date,"Closing Value"
1955-02-03,405.8500
1955-02-04,409.7600
1955-02-07,409.5900
1955-02-08,405.7000
1955-02-09,410.3200
1955-02-10,412.8900
1955-02-11,413.9900
1955-02-14,411.3900
1955-02-15,411.9500
1955-02-16,409.9800
1955-02-17,410.4700
1955-02-18,411.6300
1955-02-21,411.2800
1955-02-23,411.4800
1955-02-24,410.3000
1955-02-25,409.5000
1955-02-28,411.8700
1955-03-01,413.7100
1955-03-02,417.1800
1955-03-03,418.3300
1955-03-04,419.6800
1955-03-07,416.8400
1955-03-08,409.1300
1955-03-09,404.9000
1955-03-10,406.8300
1955-03-11,401.0800
1955-03-14,391.3600
1955-03-15,399.2800
1955-03-16,403.1400
1955-03-17,405.2300
1955-03-18,404.7500
1955-03-21,402.4000
1955-03-22,404.4700
1955-03-23,410.8700
1955-03-24,414.4900
1955-03-25,414.7700
1955-03-28,412.9100
1955-03-29,413.7300
1955-03-30,410.1300
1955-03-31,409.7000
1955-04-01,413.8400
1955-04-04,412.9700
1955-04-05,415.9000
1955-04-06,416.4200
1955-04-07,418.2000
1955-04-11,418.7700
1955-04-12,420.9400
1955-04-13,421.5700
1955-04-14,422.4600
1955-04-15,425.4500
1955-04-18,428.4200
1955-04-19,427.8800
1955-04-20,428.6200
1955-04-21,428.4500
1955-04-22,425.5200
1955-04-25,426.8600
1955-04-26,430.6400
1955-04-27,428.1000
1955-04-28,423.1900
1955-04-29,425.6500
1955-05-02,426.3000
1955-05-03,422.7800
1955-05-04,422.5400
1955-05-05,423.3900
1955-05-06,423.8400
1955-05-09,424.3200
1955-05-10,423.8000
1955-05-11,420.2900
1955-05-12,418.2000
1955-05-13,419.5700
1955-05-16,415.0100
1955-05-17,414.1200
1955-05-18,417.8300
1955-05-19,419.7200
1955-05-20,422.8900
1955-05-23,420.3200
